Country or Area,Year,Area,City,Reliability,Source Year,Value,Value Footnotes
"China, Hong Kong SAR",2015,Total,HONG KONG SAR,"Final figure, complete",2016,7305700,
"China, Hong Kong SAR",2014,Total,HONG KONG SAR,"Final figure, complete",2015,7241700,
"China, Hong Kong SAR",2013,Total,HONG KONG SAR,"Final figure, complete",2014,7187500,
"China, Hong Kong SAR",2012,Total,HONG KONG SAR,"Final figure, complete",2013,7154600,
India,2001,Total,Delhi,"Final figure, complete",2007,7069371,"5,10"
"China, Hong Kong SAR",2010,Total,HONG KONG SAR,"Final figure, complete",2011,7067800,
India,2001,Total,Kolkata (Calcutta),"Final figure, complete",2007,7064138,"5,8"
China,2000,Total,Shenzhen,"Final figure, complete",2002,7008831,
"China, Hong Kong SAR",2009,Total,HONG KONG SAR,"Final figure, complete",2009,7003700,
"China, Hong Kong SAR",2008,Total,HONG KONG SAR,"Final figure, complete",2009,6977700,
China,2000,Total,Shanghai,"Final figure, complete",2002,6934261,
"China, Hong Kong SAR",2007,Total,HONG KONG SAR,"Final figure, complete",2008,6925900,
"China, Hong Kong SAR",2006,Total,HONG KONG SAR,"Final figure, complete",2006,6857100,
"China, Hong Kong SAR",2005,Total,HONG KONG SAR,"Final figure, complete",2006,6813200,
Egypt,1996,Total,CAIRO,"Final figure, complete",1996,6800992,
"China, Hong Kong SAR",2004,Total,HONG KONG SAR,"Final figure, complete",2005,6783500,
Colombia,2005,Total,"BOGOT́, D.C.","Final figure, complete",2008,6778691,
Colombia,2005,Total,"BOGOT́, D.C.","Final figure, complete",2008,6763325,
"China, Hong Kong SAR",2001,Total,HONG KONG SAR,"Final figure, complete",2002,6708389,
Argentina,2015,Total,BUENOS AIRES,"Final figure, complete",2015,6635075,"6,11"
India,2001,Total,Mumbai (Bombay),"Final figure, complete",2007,6619966,5
India,2001,Total,Chennai (Madras),"Final figure, complete",2007,6560242,5
China,2000,Total,Dongguan,"Final figure, complete",2002,6445777,
Russian Federation,2012,Total,MOSKVA,"Final figure, complete",2013,6422580,
Thailand,2000,Total,BANGKOK,"Final figure, complete",2000,6355144,30
Thailand,2000,Total,BANGKOK,"Final figure, complete",2000,6355144,30
Brazil,2010,Total,Rio de Janeiro,"Final figure, complete",2012,6320446,
Brazil,2010,Total,Rio de Janeiro,"Final figure, complete",2012,6320446,
Japan,2005,Total,TOKYO,"Final figure, complete",2007,6311706,"12,13,14"
Japan,2005,Total,TOKYO,"Final figure, complete",2007,6264895,"12,13,14"
Russian Federation,2011,Total,MOSKVA,"Final figure, complete",2012,6239232,
Argentina,2015,Total,BUENOS AIRES,"Final figure, complete",2015,6212253,"6,11"
Russian Federation,2010,Total,MOSKVA,"Final figure, complete",2012,6198879,
Russian Federation,2010,Total,MOSKVA,"Final figure, complete",2012,6198879,
Chile,2012,Total,SANTIAGO,"Final figure, complete",2012,6148754,"31,32"
India,2001,Total,Kolkata (Calcutta),"Final figure, complete",2007,6141559,"5,8"
Chile,2011,Total,SANTIAGO,"Final figure, complete",2012,6100065,"31,32"
Canada,2014,Total,Toronto,Provisional figure,2015,6055724,33
Chile,2010,Total,SANTIAGO,"Final figure, complete",2011,6045404,31
China,2000,Total,BEIJING (PEKING),"Final figure, complete",2002,6020903,
United States of America,2000,Total,Los Angeles (CA),"Final figure, complete",2002,5954631,"3,4"
Chile,2006,Total,SANTIAGO,"Final figure, complete",2006,5890745,"31,34"
Brazil,2010,Total,Sao Paulo,"Final figure, complete",2012,5874534,
United States of America,2000,Total,Los Angeles (CA),"Final figure, complete",2002,5834856,"3,4"
India,2001,Total,Delhi,"Final figure, complete",2007,5808099,"5,10"
India,2001,Total,Hyderabad,"Final figure, complete",2007,5742036,5
Canada,2010,Total,Toronto,"Final figure, complete",2012,5741419,"35,36"
India,2001,Total,Bangalore,"Final figure, complete",2007,5701446,5
Peru,2005,Total,LIMA,Provisional figure,2007,5681941,37
Canada,2009,Total,Toronto,Provisional figure,2009,5623450,"33,35,38"
Canada,2011,Total,Toronto,"Final figure, complete",2013,5583065,
Singapore,2015,Total,SINGAPORE,"Final figure, complete",2016,5535002,39
Russian Federation,2009,Total,MOSKVA,"Final figure, complete",2010,5532543,
Canada,2008,Total,Toronto,Provisional figure,2008,5531263,"38,40"
Canada,2007,Total,Toronto,"Final figure, complete",2007,5509874,
Russian Federation,2008,Total,MOSKVA,"Final figure, complete",2009,5506277,
Russian Federation,2012,Total,MOSKVA,"Final figure, complete",2013,5495477,
China,2000,Total,BEIJING (PEKING),"Final figure, complete",2002,5488692,
Russian Federation,2007,Total,MOSKVA,"Final figure, complete",2008,5486803,
Russian Federation,2006,Total,MOSKVA,"Final figure, complete",2007,5472105,"16,17"
Singapore,2014,Total,SINGAPORE,"Final figure, complete",2015,5469724,39
Russian Federation,2004,Total,MOSKVA,"Final figure, complete",2005,5452113,"16,17"
