Country or Area,Year,Area,City,Reliability,Source Year,Value,Value Footnotes
Germany,2012,Total,Stuttgart,"Final figure, complete",2012,305347,
Russian Federation,2008,Total,Tyumen,"Final figure, complete",2009,305279,
China,2000,Total,Shihezi,"Final figure, complete",2002,305253,
Argentina,2015,Total,Mar del Plata-BatÃ¡n,"Final figure, complete",2015,305237,11
Ukraine,2008,Total,Kherson,"Final figure, complete",2008,305235,
United States of America,2010,Total,Corpus Christi (TX),"Final figure, complete",2013,305215,"3,4"
Japan,2003,Total,Okayama,"Final figure, complete",2003,305162,"12,13"
Russian Federation,2009,Total,Volzhsky,"Final figure, complete",2010,305161,
Finland,2008,Total,HELSINKI,"Final figure, complete",2009,305133.5,
Mexico,2007,Total,Pachuca,"Final figure, complete",2009,305110,
Mexico,2005,Total,Pachuca,"Final figure, complete",2007,305110,"1,2"
Cuba,2004,Total,CamagÃ_ey,"Final figure, complete",2004,305076,
India,2001,Total,Noida,"Final figure, complete",2007,305058,5
Kazakhstan,2004,Total,Ust-Kamenogorsk,"Final figure, complete",2004,305053,
Malaysia,2010,Total,Petaling Jaya,"Final figure, complete",2013,305028,
Netherlands,2003,Total,Rotterdam,"Final figure, complete",2003,304986,102
Japan,2003,Total,Sagamihara,"Final figure, complete",2003,304969,"12,13"
Kazakhstan,2006,Total,Pavlodar,"Final figure, complete",2007,304809,
Germany,2011,Total,DÃ_sseldorf,"Final figure, complete",2014,304804,
Ukraine,2001,Total,Krivoy Rog,"Final figure, complete",2003,304784,
Netherlands,2003,Total,s-Gravenhage,"Final figure, complete",2003,304782,
Australia,2011,Total,Central Coast,"Final figure, complete",2012,304753,"48,49"
Thailand,2000,Total,Sukhothai,"Final figure, complete",2000,304735,30
Brazil,2010,Total,Ponta Grossa,"Final figure, complete",2012,304717,
Malawi,2003,Total,LILONGWE,Other estimate,2004,304713,
United States of America,2010,Total,Seattle (WA),"Final figure, complete",2013,304630,"3,4"
China,2000,Total,Taizhou (Jiangsu),"Final figure, complete",2002,304582,
China,2000,Total,Yuncheng,"Final figure, complete",2002,304489,
Kazakhstan,2004,Total,Pavlodar,"Final figure, complete",2004,304473,
China,2000,Total,Fuyang (Anhui),"Final figure, complete",2002,304461,
United Kingdom of Great Britain and Northern Ireland,2001,Total,Southampton,"Final figure, complete",2006,304400,"28,29"
Romania,2007,Total,Constanta,"Final figure, complete",2008,304279,
China,2000,Total,Jincheng,"Final figure, complete",2002,304221,
Ukraine,2009,Total,Krivoy Rog,"Final figure, complete",2009,304159,
Italy,2005,Total,Catania,"Final figure, complete",2006,304144,
Thailand,2000,Total,Uthai Thani,"Final figure, complete",2000,304122,30
China,2000,Total,Luohe,"Final figure, complete",2002,304105,
Senegal,2011,Total,ThiÃ¨s,"Final figure, complete",2011,304087,83
China,2000,Total,Deyang,"Final figure, complete",2002,304053,
United States of America,2010,Total,Seattle (WA),"Final figure, complete",2013,304030,"3,4"
Cuba,2014,Total,CamagÃ_ey,"Final figure, complete",2015,304027,
Kazakhstan,2008,Total,Pavlodar,"Final figure, complete",2008,303955,
Romania,2005,Total,Timisoara,"Final figure, complete",2006,303908,
Spain,2001,Total,CÃ_rdoba,"Final figure, complete",2002,303874,57
United States of America,2010,Total,Riverside (CA),"Final figure, complete",2013,303871,"3,4"
Japan,2005,Total,Yokkaichi,"Final figure, complete",2007,303845,"12,13"
Azerbaijan,2004,Total,Ganja,"Final figure, complete",2005,303800,
Romania,2006,Total,Timisoara,"Final figure, complete",2007,303796,
China,2000,Total,Xingyang,"Final figure, complete",2002,303791,
Russian Federation,2012,Total,Murmansk,"Final figure, complete",2013,303754,
United States of America,2000,Total,Reno (NV),"Final figure, complete",2002,303689,"3,4"
United States of America,2000,Total,Baltimore (MD),"Final figure, complete",2002,303687,"3,4"
United States of America,2000,Total,Provo (UT),"Final figure, complete",2002,303680,"3,4"
Mexico,2007,Total,Tampico,"Final figure, complete",2009,303635,
Mexico,2005,Total,Tampico,"Final figure, complete",2007,303635,1
Germany,2015,Total,Stuttgart,"Final figure, complete",2015,303622,54
Netherlands,2005,Total,Rotterdam,"Final figure, complete",2005,303617,102
Czech Republic,2011,Total,Ostrava,"Final figure, complete",2011,303609,
Germany,2013,Total,Stuttgart,"Final figure, complete",2013,303592,
China,2000,Total,Yanzhou,"Final figure, complete",2002,303581,
Russian Federation,2012,Total,Makhachkala,"Final figure, complete",2013,303556,
India,2001,Total,Tirupati,"Final figure, complete",2007,303521,5
United States of America,2000,Total,Tampa (FL),"Final figure, complete",2002,303447,"3,4"
Brazil,2010,Total,Ponta Grossa,"Final figure, complete",2012,303399,
Russian Federation,2011,Total,Vologda,"Final figure, complete",2012,303357,
Zimbabwe,2012,Total,Bulawayo,"Final figure, complete",2014,303346,
Mozambique,1997,Total,Nampula,"Final figure, complete",2002,303346,
Germany,1999,Total,Dortmund,"Final figure, complete",1999,303333,
Poland,2006,Total,Poznan,"Final figure, complete",2006,303244,66
Dominican Republic,2010,Total,Santiago de los Caballeros,"Final figure, complete",2012,303239,
Republic of Korea,2000,Total,Yeosu,"Final figure, complete",2002,303233,
Romania,2006,Total,Timisoara,"Final figure, complete",2006,303224,
India,2001,Total,Patiala,"Final figure, complete",2007,303151,5
Italy,2013,Total,Catania,"Final figure, complete",2014,303127,
Denmark,2009,Total,Ã…rhus,"Final figure, complete",2009,303107,"110,115"
China,2000,Total,Taizhou (Jiangsu),"Final figure, complete",2002,303078,
Romania,2012,Total,Cluj-Napoca,Provisional figure,2013,303047,
Romania,2011,Total,Iasi,Provisional figure,2012,302971,
Ukraine,2009,Total,Kherson,"Final figure, complete",2009,302965,
Ukraine,2005,Total,Poltava,"Final figure, complete",2005,302939,
China,2000,Total,Jiyuan,"Final figure, complete",2002,302924,
Italy,2007,Total,Catania,"Final figure, complete",2008,302854,
Italy,2006,Total,Catania,"Final figure, complete",2007,302854,
Egypt,2006,Total,Zagazig,"Final figure, complete",2011,302840,
Netherlands,2006,Total,The Hague,"Final figure, complete",2006,302812,
Netherlands,2008,Total,s-Gravenhage,"Final figure, complete",2008,302810,
India,2001,Total,Mathura,"Final figure, complete",2007,302770,5
China,2000,Total,Jurong,"Final figure, complete",2002,302713,
Azerbaijan,2003,Total,Ganja,"Final figure, complete",2004,302700,
Chile,2011,Total,San Bernardo,"Final figure, complete",2012,302696,31
United States of America,2000,Total,WASHINGTON (DC),"Final figure, complete",2002,302693,"3,4"
Japan,2010,Total,Funabashi,"Final figure, complete",2012,302641,13
Colombia,2005,Total,CÃºcuta,"Final figure, complete",2008,302625,
Dominican Republic,2002,Total,Santiago de los Caballeros,"Final figure, complete",2008,302619,
Poland,2006,Total,Poznan,"Final figure, complete",2007,302597,66
Russian Federation,2012,Total,Orenburg,"Final figure, complete",2013,302514,
Japan,2010,Total,Kurume,"Final figure, complete",2012,302402,13
Azerbaijan,2008,Total,Sumgayit,"Final figure, complete",2009,302395,
Russian Federation,2011,Total,Makhachkala,"Final figure, complete",2012,302387,
India,2001,Total,NEW DELHI,"Final figure, complete",2007,302363,"5,133,134"
Belarus,2006,Total,Brest,"Final figure, complete",2007,302348,
Japan,2000,Total,Okayama,"Final figure, complete",2009,302339,"12,13"
Romania,2008,Total,Constanta,"Final figure, complete",2009,302242,
United Kingdom of Great Britain and Northern Ireland,2001,Total,South Lanarkshire,"Final figure, complete",2006,302216,"28,29"
China,2000,Total,Leling,"Final figure, complete",2002,302191,
Canada,2001,Total,Mississauga,"Final figure, complete",2009,302190,
Germany,2015,Total,MÃ_nster (Westf.),"Final figure, complete",2015,302178,54
Spain,2001,Total,Alicante,"Final figure, complete",2009,302113,
Philippines,2000,Total,Zamboanga,"Final figure, complete",2005,302089,
Cuba,2003,Total,CamagÃ_ey,"Final figure, complete",2004,302054,
Romania,2009,Total,Constanta,"Final figure, complete",2010,302040,
Russian Federation,2012,Total,Novokuznetsk,"Final figure, complete",2013,301997,
Finland,2007,Total,HELSINKI,"Final figure, complete",2008,301990.5,
Mexico,2010,Total,QuerÃ©taro,"Final figure, complete",2011,301972,
Philippines,2007,Total,Baguio,"Final figure, complete",2012,301926,
Romania,2011,Total,Cluj-Napoca,Provisional figure,2012,301913,
Brazil,2010,Total,Sao JosÃ© dos Campos,"Final figure, complete",2012,301893,
Qatar,2010,Total,Al-Rayyan,"Final figure, complete",2012,301842,
Australia,2012,Total,Gold Coast-Tweed Heads,"Final figure, complete",2014,301792,43
Thailand,2000,Total,Trang,"Final figure, complete",2000,301789,30
Philippines,2010,Total,Paranaque,"Final figure, complete",2013,301755,
Russian Federation,2010,Total,Vologda,"Final figure, complete",2013,301755,
Canada,2011,Total,Markham,"Final figure, complete",2013,301710,
Japan,2005,Total,Otsu,"Final figure, complete",2007,301672,"12,13"
China,2000,Total,Yangzhong,"Final figure, complete",2002,301672,
Brazil,2010,Total,UberlÃ¢ndia,"Final figure, complete",2012,301655,
Philippines,2010,Total,Imus City,"Final figure, complete",2013,301624,
Belarus,1999,Total,Grodno,"Final figure, complete",2009,301622,
Netherlands,2007,Total,s-Gravenhage,"Final figure, complete",2007,301614,
Venezuela (Bolivarian Republic of),1998,Total,Barcelona,"Final figure, complete",1998,301595,
Argentina,2015,Total,Salta,"Final figure, complete",2015,301577,11
Cuba,2002,Total,CamagÃ_ey,"Final figure, complete",2009,301574,
Russian Federation,2011,Total,Novokuznetsk,"Final figure, complete",2012,301568,
India,2001,Total,Jamshedpur,"Final figure, complete",2007,301433,5
Netherlands,2010,Total,Rotterdam,"Final figure, complete",2010,301421,
United Kingdom of Great Britain and Northern Ireland,2001,Total,Kingston-upon-Hull,"Final figure, complete",2006,301416,"28,29"
Thailand,2000,Total,Pattani,"Final figure, complete",2000,301380,30
China,2000,Total,Weihai,"Final figure, complete",2002,301352,
United States of America,2005,Total,Toledo (OH),"Final figure, complete",2005,301285,"3,4"
India,2001,Total,Moradabad,"Final figure, complete",2007,301269,5
Mexico,2010,Total,Chimalhuacan,"Final figure, complete",2011,301250,
Poland,2007,Total,Poznan,"Final figure, complete",2008,301242,66
Philippines,2010,Total,Cagayan de Oro,"Final figure, complete",2013,301235,
Romania,2010,Total,Constanta,"Final figure, complete",2011,301221,
Russian Federation,2010,Total,Makhachkala,"Final figure, complete",2013,301215,
Germany,2011,Total,Stuttgart,"Final figure, complete",2011,301128,
Netherlands,2005,Total,s-Gravenhage,"Final figure, complete",2005,301075,
Chile,2004,Total,Temuco,"Final figure, complete",2004,301055,31
Germany,1999,Total,Bonn,"Final figure, complete",1999,301048,
China,2000,Total,Gaoming,"Final figure, complete",2002,301041,
Japan,2000,Total,Naha,"Final figure, complete",2009,301032,"12,13"
Russian Federation,2011,Total,Novorossiysk,"Final figure, complete",2012,300982,
Cuba,2012,Total,CamagÃ_ey,"Final figure, complete",2014,300943,
Kazakhstan,2003,Total,Pavlodar,"Final figure, complete",2004,300942,
Russian Federation,2010,Total,Novokuznetsk,"Final figure, complete",2013,300933,
Russian Federation,2010,Total,Novokuznetsk,"Final figure, complete",2013,300933,
China,2000,Total,Binzhou,"Final figure, complete",2002,300931,
Philippines,2010,Total,Cagayan de Oro,"Final figure, complete",2013,300853,
India,2001,Total,Kochi,"Final figure, complete",2007,300819,5
Thailand,2000,Total,Loei,"Final figure, complete",2000,300737,30
Sri Lanka,2001,Total,COLOMBO,"Final figure, complete",2009,300734,107
Mexico,2007,Total,Tampico,"Final figure, complete",2009,300663,
Uzbekistan,2015,Total,Nukus,"Final figure, complete",2016,300658,58
Norway,2011,Total,OSLO,"Final figure, complete",2012,300639,
Canada,2014,Total,Saskatoon,Provisional figure,2015,300634,33
Romania,2006,Total,Craiova,"Final figure, complete",2007,300587,
Brazil,2010,Total,Paulista,"Final figure, complete",2012,300466,
Brazil,2010,Total,Paulista,"Final figure, complete",2012,300466,
China,2000,Total,Meihekou,"Final figure, complete",2002,300448,
Netherlands,2006,Total,Rotterdam,"Final figure, complete",2006,300422,102
Ukraine,2011,Total,Krivoy Rog,"Final figure, complete",2011,300361,
Russian Federation,2011,Total,Orenburg,"Final figure, complete",2012,300334,
Netherlands,2011,Total,Rotterdam,"Final figure, complete",2011,300319,
Russian Federation,2009,Total,Surgut,"Final figure, complete",2010,300314,
China,2000,Total,Jingmen,"Final figure, complete",2002,300284,
Finland,2006,Total,HELSINKI,"Final figure, complete",2007,300228,
Kazakhstan,2007,Total,Pavlodar,"Final figure, complete",2007,300226,
Germany,1999,Total,DÃ_sseldorf,"Final figure, complete",1999,300225,
Brazil,2010,Total,UberlÃ¢ndia,"Final figure, complete",2012,300154,
Democratic People's Republic of Korea,1993,Total,Wonsan,"Final figure, complete",1993,300148,
Belarus,2004,Total,Brest,"Final figure, complete",2005,300124,
United States of America,2010,Total,Denver (CO),"Final figure, complete",2013,300089,"3,4"
United States of America,2010,Total,Denver (CO),"Final figure, complete",2013,300069,"3,4"
Lithuania,2009,Total,VILNIUS,"Final figure, complete",2010,300068,117
Russian Federation,2010,Total,Barnaul,"Final figure, complete",2013,300058,
Germany,2015,Total,Karlsruhe,"Final figure, complete",2015,300051,54
Japan,2004,Total,Hamamatsu,"Final figure, complete",2004,300049,"12,13"
United States of America,2000,Total,Lansing (MI),"Final figure, complete",2002,300032,"3,4"
India,2001,Total,Latur,"Final figure, complete",2007,299985,5
China,2000,Total,Binzhou,"Final figure, complete",2002,299952,
Sweden,2006,Total,MalmÃ¶,"Final figure, complete",2007,299912,
China,2000,Total,Yuncheng,"Final figure, complete",2002,299892,
Netherlands,2009,Total,Utrecht,"Final figure, complete",2009,299891,
Germany,2015,Total,Mannheim,"Final figure, complete",2015,299844,54
Romania,2011,Total,Constanta,Provisional figure,2012,299824,
Germany,2014,Total,MÃ_nster (Westf.),"Final figure, complete",2014,299708,
Philippines,2000,Total,Zamboanga,"Final figure, complete",2005,299705,
Norway,2010,Total,OSLO,"Final figure, complete",2011,299702.5,
Bangladesh,1991,Total,Rajshahi,Provisional figure,1991,299671,
Russian Federation,2007,Total,Tyumen,"Final figure, complete",2008,299658,
Romania,2003,Total,Craiova,"Final figure, complete",2004,299641,
Czech Republic,2012,Total,Ostrava,"Final figure, complete",2012,299622,
Poland,2003,Total,Wroclaw,"Final figure, complete",2004,299622,66
Japan,2010,Total,Aomori,"Final figure, complete",2012,299520,13
Romania,2005,Total,Craiova,"Final figure, complete",2006,299494,
China,2000,Total,Huizhou,"Final figure, complete",2002,299470,
Romania,2003,Total,Galati,"Final figure, complete",2004,299451,
Romania,2007,Total,Craiova,"Final figure, complete",2008,299429,
Canada,2001,Total,Winnipeg,"Final figure, complete",2009,299420,
Serbia,2002,Total,Novi Sad,"Final figure, complete",2003,299294,"67,68"
United States of America,2000,Total,Winston-Salem (NC),"Final figure, complete",2002,299290,"3,4"
China,2000,Total,Yizheng,"Final figure, complete",2002,299212,
Ukraine,2007,Total,Poltava,"Final figure, complete",2007,299208,
Romania,2005,Total,Galati,"Final figure, complete",2006,299205,
Romania,2006,Total,Craiova,"Final figure, complete",2006,299198,
Finland,2003,Total,HELSINKI,"Final figure, complete",2004,299185,
Japan,2004,Total,Otsu,"Final figure, complete",2004,299157,"12,13"
Russian Federation,2004,Total,Saransk,"Final figure, complete",2005,299154,"16,17"
Saudi Arabia,2010,Total,Al-Hufuf,"Final figure, complete",2016,299116,
Germany,2014,Total,Karlsruhe,"Final figure, complete",2014,299103,
Ukraine,2001,Total,Chernihiv,"Final figure, complete",2003,299038,
Netherlands,2009,Total,Rotterdam,"Final figure, complete",2009,299032,
Argentina,1991,Total,San Isidro,"Final figure, complete",1991,299023,
China,2000,Total,Shangzhi,"Final figure, complete",2002,298966,
Ukraine,2011,Total,Krivoy Rog,"Final figure, complete",2011,298927,
Russian Federation,2012,Total,Yakutsk,"Final figure, complete",2013,298926,
Ukraine,2011,Total,Kherson,"Final figure, complete",2011,298926,
United States of America,2000,Total,Allentown (PA),"Final figure, complete",2002,298904,"3,4"
Finland,2005,Total,HELSINKI,"Final figure, complete",2006,298876,
Kazakhstan,2009,Total,Ust-Kamenogorsk,"Final figure, complete",2009,298866,
Romania,2002,Total,Galati,"Final figure, complete",2009,298861,
Germany,2011,Total,Stuttgart,"Final figure, complete",2014,298805,
Russian Federation,2004,Total,Naltchik,"Final figure, complete",2005,298756,"16,17"
Romania,2010,Total,Craiova,"Final figure, complete",2011,298740,
Indonesia,2010,Total,Sukabumi,"Final figure, complete",2011,298681,
Finland,2004,Total,HELSINKI,"Final figure, complete",2005,298681,
Romania,2009,Total,Craiova,"Final figure, complete",2010,298643,
Mexico,2010,Total,Ciudad ObregÃ_n,"Final figure, complete",2011,298625,
United States of America,2012,Total,Anchorage (AK),"Final figure, complete",2014,298610,"3,26"
Poland,2004,Total,Wroclaw,"Final figure, complete",2005,298556,66
Ukraine,2005,Total,Gorlivka,"Final figure, complete",2005,298514,
Australia,2010,Total,Gold Coast-Tweed Heads,Provisional figure,2012,298513,46
Denmark,2008,Total,Ã…rhus,"Final figure, complete",2008,298501,"110,115"
China,2000,Total,Longyan,"Final figure, complete",2002,298481,
Yemen,1994,Total,Al-Hudaydah (Hodeidah),"Final figure, complete",2002,298452,
Argentina,2010,Total,Posadas,"Final figure, complete",2011,298450.2374,"7,9"
Lithuania,2008,Total,VILNIUS,"Final figure, complete",2009,298420,117
Germany,2014,Total,Stuttgart,"Final figure, complete",2014,298413,
Philippines,2007,Total,Butuan,"Final figure, complete",2012,298378,
Russian Federation,2010,Total,Orenburg,"Final figure, complete",2013,298361,
Japan,2010,Total,Morioka,"Final figure, complete",2012,298348,13
China,2000,Total,Shaoyang,"Final figure, complete",2002,298305,
Saudi Arabia,2010,Total,Najran (Aba as-Suud),"Final figure, complete",2016,298288,
Netherlands,2007,Total,Rotterdam,"Final figure, complete",2007,298258,102
Russian Federation,2010,Total,Novorossiysk,"Final figure, complete",2013,298253,
Azerbaijan,2007,Total,Sumgayit,"Final figure, complete",2008,298216,
Germany,2011,Total,Essen,"Final figure, complete",2011,298206,
Japan,2003,Total,Hamamatsu,"Final figure, complete",2003,298173,"12,13"
Mexico,2010,Total,"Guadalupe, Zacatecas","Final figure, complete",2011,298167,
Mexico,2010,Total,Zacatecas-Guadalupe,"Final figure, complete",2011,298167,
Kazakhstan,2008,Total,Ust-Kamenogorsk,"Final figure, complete",2008,298136,
Russian Federation,2012,Total,Saransk,"Final figure, complete",2013,298103,
Ukraine,2012,Total,Krivoy Rog,"Final figure, complete",2012,298015,
Russian Federation,2011,Total,Saransk,"Final figure, complete",2012,298014,
Congo,1984,Total,Pointe-Noire,"Final figure, complete",1984,298014,
Japan,2004,Total,Hamamatsu,"Final figure, complete",2004,297989,"12,13"
United States of America,2012,Total,Stockton (CA),"Final figure, complete",2014,297984,"3,26"
Chile,2010,Total,San Bernardo,"Final figure, complete",2011,297964,31
Brazil,2010,Total,Jaboatao dos Guarapes,"Final figure, complete",2012,297903,
China,2000,Total,Anlu,"Final figure, complete",2002,297901,
Senegal,2011,Total,Mbour,"Final figure, complete",2011,297885,83
Japan,2000,Total,Aomori,"Final figure, complete",2009,297859,"12,13"
United States of America,2009,Total,Riverside (CA),"Final figure, complete",2011,297841,"3,4"
Italy,2008,Total,Catania,"Final figure, complete",2009,297821,
China,2000,Total,Dexing,"Final figure, complete",2002,297784,
Brazil,2010,Total,Piracicaba,"Final figure, complete",2012,297767,
Russian Federation,2012,Total,Kemerovo,"Final figure, complete",2013,297757,
United States of America,2000,Total,Springfield (MA),"Final figure, complete",2002,297736,"3,4"
Poland,2006,Total,Wroclaw,"Final figure, complete",2006,297726,66
Malaysia,2010,Total,MP Kota Bharu,"Final figure, complete",2013,297696,
Netherlands,2008,Total,Rotterdam,"Final figure, complete",2008,297638,
Romania,2006,Total,Cluj-Napoca,"Final figure, complete",2006,297568,
China,2000,Total,Tianchang,"Final figure, complete",2002,297550,
Romania,2008,Total,Craiova,"Final figure, complete",2009,297539,
Spain,2001,Total,Donostia - San SebastiÃ¡n,"Final figure, complete",2009,297537,
Romania,2011,Total,Craiova,Provisional figure,2012,297510,
Russian Federation,2004,Total,Vologda,"Final figure, complete",2005,297508,"16,17"
China,2000,Total,Zhaoyuan,"Final figure, complete",2002,297504,
Romania,2012,Total,Constanta,Provisional figure,2013,297503,
Japan,2000,Total,Sagamihara,"Final figure, complete",2009,297495,"12,13"
Germany,2012,Total,Karlsruhe,"Final figure, complete",2012,297488,
Germany,1999,Total,Stuttgart,"Final figure, complete",1999,297466,
Romania,2003,Total,Cluj-Napoca,"Final figure, complete",2004,297461,
Germany,2012,Total,Essen,"Final figure, complete",2012,297439,
France,1999,Total,Tours,"Final figure, complete",2009,297439,
Czech Republic,2013,Total,Ostrava,"Final figure, complete",2013,297421,
Russian Federation,2010,Total,Saransk,"Final figure, complete",2013,297415,
Kazakhstan,2009,Total,Shimkent,"Final figure, complete",2009,297396,
Germany,2015,Total,Essen,"Final figure, complete",2015,297322,54
Belarus,2003,Total,Brest,"Final figure, complete",2004,297301,
Spain,2011,Total,Vigo,"Final figure, complete",2013,297298,
Mexico,2010,Total,Tampico,"Final figure, complete",2011,297284,
Saudi Arabia,1992,Total,Ad-Dammam,"Final figure, complete",2002,297284,
Kazakhstan,2004,Total,Semipalatinsk,"Final figure, complete",2004,297282,
Poland,2006,Total,Wroclaw,"Final figure, complete",2007,297258,66
United States of America,2005,Total,Aurora (CO),"Final figure, complete",2005,297235,"3,4"
Lithuania,2013,Total,VILNIUS,"Final figure, complete",2014,297233,
Spain,2009,Total,Vigo,"Final figure, complete",2011,297228,
Spain,2010,Total,Vigo,"Final figure, complete",2012,297183,
Romania,2006,Total,Galati,"Final figure, complete",2006,297078,
Poland,2009,Total,Poznan,"Final figure, complete",2010,297069,66
Ukraine,2012,Total,Kherson,"Final figure, complete",2012,297064,
Lithuania,2007,Total,VILNIUS,"Final figure, complete",2008,297022,117
United States of America,2010,Total,Cincinnati (OH),"Final figure, complete",2013,296943,"3,4"
Spain,2012,Total,Vigo,"Final figure, complete",2013,296917,
Mexico,2010,Total,TehuacÃ¡n,"Final figure, complete",2011,296899,
Kazakhstan,2003,Total,Ust-Kamenogorsk,"Final figure, complete",2004,296880,
Portugal,2011,Total,LISBOA,"Final figure, complete",2013,296859,
Mexico,2010,Total,TorreÃ_n,"Final figure, complete",2011,296781,
Brazil,2010,Total,Sorocaba,"Final figure, complete",2012,296767,
Brazil,2010,Total,Sorocaba,"Final figure, complete",2012,296767,
Portugal,2011,Total,LISBOA,Provisional figure,2012,296753.5,
Japan,2003,Total,Otsu,"Final figure, complete",2003,296726,"12,13"
Iraq,1987,Total,Kerbala,"Final figure, complete",1987,296705,
Romania,2006,Total,Galati,"Final figure, complete",2007,296697,
Germany,2014,Total,Mannheim,"Final figure, complete",2014,296690,
India,2001,Total,Shahjahanpur,"Final figure, complete",2007,296662,5
Russian Federation,2006,Total,Naltchik,"Final figure, complete",2007,296620.5,"16,17"
Germany,2013,Total,MÃ_nster (Westf.),"Final figure, complete",2013,296599,
Ukraine,2012,Total,Krivoy Rog,"Final figure, complete",2012,296589,
Ukraine,2008,Total,Poltava,"Final figure, complete",2008,296576,
China,2000,Total,Xichang,"Final figure, complete",2002,296554,
United States of America,2012,Total,Cincinnati (OH),"Final figure, complete",2014,296550,"3,26"
United States of America,2009,Total,Lexington-Fayette (KY),"Final figure, complete",2011,296545,"3,4"
Brazil,2010,Total,Santo AndrÃ©,"Final figure, complete",2012,296544,
Germany,2015,Total,Dortmund,"Final figure, complete",2015,296509,54
United States of America,2000,Total,Akron (OH),"Final figure, complete",2002,296436,"3,4"
Poland,2007,Total,Wroclaw,"Final figure, complete",2008,296432,66
Iran (Islamic Republic of),2011,Total,Sari,"Final figure, complete",2013,296417,
Ukraine,2013,Total,Krivoy Rog,"Final figure, complete",2013,296390,
Indonesia,2010,Total,Cirebon (Tjirebon),"Final figure, complete",2011,296389,
China,2000,Total,Fu'an,"Final figure, complete",2002,296379,
Russian Federation,2008,Total,Surgut,"Final figure, complete",2009,296333,
India,2001,Total,Kakinada,"Final figure, complete",2007,296329,5
Australia,2013,Total,Gold Coast-Tweed Heads,"Final figure, complete",2015,296281,43
Chile,2002,Total,La Serena,"Final figure, complete",2007,296253,135
Russian Federation,2006,Total,Saransk,"Final figure, complete",2007,296243,"16,17"
Spain,2001,Total,Zaragoza,"Final figure, complete",2009,296234,
Czech Republic,2011,Total,Ostrava,"Final figure, complete",2012,296224,
Russian Federation,2009,Total,Saransk,"Final figure, complete",2010,296209,
Japan,2003,Total,Aomori,"Final figure, complete",2003,296208,"12,13"
China,2000,Total,Zhaoyuan,"Final figure, complete",2002,296201,
Iran (Islamic Republic of),2006,Total,Orumiyeh,"Final figure, complete",2011,296190,
Chile,2004,Total,Talcahuano,"Final figure, complete",2004,296161,31
Japan,2004,Total,Kagoshima,"Final figure, complete",2004,296143,"12,13"
Mexico,2007,Total,Morelia,"Final figure, complete",2009,296068,
Mexico,2005,Total,Morelia,"Final figure, complete",2007,296068,"1,2"
Germany,2013,Total,Karlsruhe,"Final figure, complete",2013,296033,
Italy,2009,Total,Catania,"Final figure, complete",2010,296030,
Lithuania,2006,Total,VILNIUS,"Final figure, complete",2007,296024,
Poland,2011,Total,Poznan,"Final figure, complete",2012,296012,66
United States of America,2000,Total,El Paso (TX),"Final figure, complete",2002,296011,"3,4"
Japan,2003,Total,Hamamatsu,"Final figure, complete",2003,295973,"12,13"
United States of America,2010,Total,Boston (MA),"Final figure, complete",2013,295951,"3,4"
Germany,2014,Total,Essen,"Final figure, complete",2014,295902,
China,2000,Total,Xianning,"Final figure, complete",2002,295836,
China,2000,Total,Akeshu,"Final figure, complete",2002,295811,
United States of America,2010,Total,Lexington-Fayette (KY),"Final figure, complete",2013,295803,"3,4,136"
Japan,2005,Total,Kasugai,"Final figure, complete",2007,295802,"12,13"
Russian Federation,2007,Total,Naltchik,"Final figure, complete",2008,295779,
Germany,2011,Total,Dortmund,"Final figure, complete",2011,295749,
Spain,2013,Total,Vigo,"Final figure, complete",2014,295738,
Spain,2008,Total,Vigo,"Final figure, complete",2009,295703,
Russian Federation,2008,Total,Saransk,"Final figure, complete",2009,295696,
Japan,2003,Total,Kagoshima,"Final figure, complete",2003,295669,"12,13"
Russian Federation,2010,Total,Yakutsk,"Final figure, complete",2013,295664,
Czech Republic,2014,Total,Ostrava,"Final figure, complete",2014,295653,
Spain,2011,Total,Vigo,"Final figure, complete",2014,295625,
Denmark,2007,Total,Ã…rhus,"Final figure, complete",2008,295599,115
Mexico,2010,Total,Reynosa-RÃ_o Bravo,"Final figure, complete",2011,295586,
China,2000,Total,Lingyuan,"Final figure, complete",2002,295567,
United States of America,2005,Total,Bakersfield (CA),"Final figure, complete",2005,295536,"3,4"
Japan,2004,Total,Kasugai,"Final figure, complete",2004,295517,"12,13"
Germany,2012,Total,Dortmund,"Final figure, complete",2012,295512,
Russian Federation,2011,Total,Kemerovo,"Final figure, complete",2012,295504,
Germany,2011,Total,Essen,"Final figure, complete",2014,295468,
Ukraine,2013,Total,Kherson,"Final figure, complete",2013,295450,
Australia,2011,Total,Gold Coast-Tweed Heads,Provisional figure,2013,295429,45
Colombia,2005,Total,Neiva,"Final figure, complete",2008,295412,
Lithuania,2011,Total,VILNIUS,"Final figure, complete",2012,295409,
Lithuania,2005,Total,VILNIUS,"Final figure, complete",2006,295406,
Russian Federation,2008,Total,Naltchik,"Final figure, complete",2009,295373,
Russian Federation,2007,Total,Saransk,"Final figure, complete",2008,295366,
United States of America,2008,Total,Riverside (CA),"Final figure, complete",2009,295357,"3,4"
Kazakhstan,2008,Total,ASTANA,"Final figure, complete",2008,295354,
Poland,2010,Total,Poznan,"Final figure, complete",2011,295338,66
Canada,2006,Total,Vancouver,"Final figure, complete",2011,295285,42
