City,Country,Art_exhibitions_visits,Cinema_Screens,Cinemas,Creative_Industries_Employment,Educated,Foreign_born,GDP,Area,Concert_Halls,Median Weekly Earnings,Number_of_bars,Number_of_comedy,Number_of_tourists,Number_of_restaurants,Public_libraries,Working_age,Museums,Length.per.resident..mm.,Usage,Annual.ridership,Country.Subdivision,Starbucks,iso_region,total_runways,Brookings_GDP,service.firms,country.etc,pop,lat,long,capital,Population,Cluster
Rio de Janeiro,Brazil,5283,189,42,0.0275,0.145,0.01,194900,1200,NA,133.5,12072,0,1400000,6576,74,3968209,4,3.6,0.03,212,RJ,11,BR-RJ,2,176.6,76,Brazil,6055582,-22.91,-43.2,0,6320446,3
Rome,Italy,NA,203,NA,0.095,NA,0.095,163005,5363,NA,NA,NA,NA,8780500,14495,36,NA,17,18.3,0.14,331,NA,0,IT-62,4,163.2,98,Italy,2561181,41.89,12.5,1,2867671.5,2
San Francisco,USA,2098,83,25,0.0611,0.524,0.36,388272,121,4,932.42,377,11,3044000,3973,34,570823,0,48.4,0.04,111,CA,77,US-CA,4,331,164,USA,723724,37.77,-122.45,0,2995769,4
Sao Paulo,Brazil,3182,293,46,0.0246,0.19,0.01,370000,1500,4,136,15000,2,1600000,12500,NA,6720000,NA,4.2,0.06,877,SP,28,BR-SP,4,430.5,168,Brazil,10059502,-23.53,-46.63,0,11152968,3
Seattle,USA,NA,92,27,0.0401,0.641,0.173,NA,369,NA,NA,NA,3,1574400,3027,27,NA,NA,8.9,0,0,WA,135,US-WA,6,267.5,74,USA,570430,47.62,-122.35,0,2712205,4
Seoul,South Korea,NA,504,88,0.12,0.348,0.04,335493,605,4,NA,18829,8,11446422,81477,608,7048199,15,33.3,0.35,2518,11,221,KR-28,5,845.9,128,Korea South,10409345,37.56,126.99,1,10038916,1
Shanghai,China,NA,765,230,NA,0.429,0,667449,6340,4,228.07,2693,0,7913000,189525,477,17563800,95,39.2,0.21,2276,31,198,CN-31,6,594,135,China,15017783,31.23,121.47,2,21730000,1
Shenzhen,China,160,527,112,0.0276,0.411,0,453335,1997,8,119.47,1434,2,1661200,84257,639,8992400,3,30.4,0.02,132,44,52,CN-44,1,363.2,28,China,1072093,22.53,114.13,0,7008831,1
Singapore,Singapore,NA,207,30,0.018,0.273,0.29,425155,718,4,838.19,659,1,15567900,2426,27,2583846,6,37.7,0.25,794,5,68,SG-04,3,365.9,229,Singapore,3601745,1.3,103.85,1,5535002,2
Stockholm,Sweden,NA,136,21,0.06,0.47,0.3,63641,6526,5,630.81,414,20,2.00E+06,2000,90,1072974,29,83.9,0.34,309,AB,2,SE-AB,3,143,138,Sweden,1260712,59.33,18.07,1,1904025,2
Sydney,Australia,NA,367,57,0.046,0.349,0.4,232012,12145,4,443.27,791,4,3100000,19384,160,3282012,1,5.1,0,0,NA,0,AU-NSW,3,223.4,186,Australia,4444513,-33.87,151.21,0,4575532,2
Taipei,Taiwan,2932,183,36,NA,NA,0.03,283990.3,272,4,711.75,234,0,7038496,7061,48,NA,7,50.5,0.34,652,TPE,93,TW-TAO,2,327.3,143,Taiwan,2491662,25.02,121.45,1,2704974,1
Tokyo,Japan,6258,334,82,0.112,0.255,0.02,743826,2130,15,1069.54,14184,1,5940000,150510,377,8739000,8,8.5,0.12,3102,13,1,JP-12,6,1617,244,Japan,8372440,35.67,139.77,1,12576601,1
Toronto,Canada,8969,297,46,0.06,0.69,0.49,125670,630,6,503,957,17,3218400,7961,102,1686700,0,13.7,0.07,278,ON,133,CA-ON,5,276.3,182,Canada,4670783,43.65,-79.38,0,6055724,4
Vienna,Austria,20785,144,27,0.065,0.23,0.32,92358,415,7,NA,NA,10,4564276,NA,104,1146755,14,34.1,0.32,534,9,11,AT-9,2,183.7,122,Austria,1570976,48.22,16.37,1,1829876,2
Warsaw,Poland,3344,139,27,0.016,0.253,0.013,62135.56,517,4,NA,NA,1,2700000,1832,197,1079165,14,16.8,0.11,140,MZ,12,PL-MZ,3,141.1,124,Poland,1634441,52.26,21.02,1,1716855,3
